iter	Passed	Remaining
0	64	64473
1	65	32726
2	66	22114
3	67	16794
4	68	13595
5	69	11456
6	69	9925
7	70	8776
8	71	7884
9	72	7169
10	73	6610
11	74	6136
12	75	5741
13	76	5398
14	77	5099
15	78	4826
16	79	4596
17	80	4385
18	81	4195
19	82	4024
20	82	3868
21	83	3727
22	84	3594
23	85	3475
24	86	3366
25	87	3264
26	88	3172
27	88	3086
28	89	3002
29	90	2923
30	91	2851
31	92	2784
32	92	2720
33	93	2657
34	94	2600
35	95	2545
36	95	2496
37	96	2446
38	97	2399
39	98	2356
40	98	2313
41	99	2272
42	100	2233
43	101	2195
44	101	2160
45	102	2127
46	103	2094
47	103	2061
48	104	2031
49	105	2004
50	106	1975
51	106	1948
52	107	1927
53	108	1900
54	109	1876
55	109	1851
56	110	1830
57	111	1805
58	111	1781
59	112	1759
60	112	1739
61	113	1719
62	114	1698
63	114	1679
64	115	1660
65	116	1642
66	116	1623
67	117	1609
68	117	1589
69	118	1574
70	119	1559
71	119	1543
72	120	1528
73	121	1514
74	121	1503
75	122	1489
76	123	1476
77	123	1463
78	124	1450
79	124	1436
80	125	1424
81	126	1412
82	126	1400
83	127	1388
84	128	1378
85	128	1368
86	129	1357
87	129	1347
88	130	1336
89	131	1326
90	131	1317
91	132	1308
92	133	1299
93	133	1290
94	135	1287
95	135	1278
96	136	1268
97	137	1261
98	137	1251
99	138	1243
100	138	1234
101	139	1226
102	139	1218
103	140	1210
104	141	1202
105	141	1195
106	142	1187
107	142	1180
108	143	1173
109	144	1166
110	144	1159
111	145	1152
112	146	1146
113	146	1140
114	147	1134
115	148	1128
116	148	1122
117	149	1117
118	150	1112
119	150	1106
120	151	1100
121	152	1095
122	152	1089
123	153	1084
124	153	1077
125	154	1074
126	155	1069
127	156	1065
128	156	1060
129	157	1055
130	158	1050
131	159	1046
132	159	1042
133	160	1038
134	161	1034
135	162	1030
136	162	1026
137	163	1022
138	164	1018
139	165	1013
140	165	1008
141	166	1004
142	166	1000
143	167	996
144	168	992
145	169	988
146	169	985
147	170	981
148	171	978
149	172	975
150	172	971
151	173	968
152	174	964
153	174	959
154	175	956
155	176	953
156	176	949
157	177	946
158	178	942
159	178	939
160	179	935
161	180	931
162	180	928
163	181	925
164	182	921
165	182	917
166	183	915
167	184	914
168	185	911
169	185	907
170	186	903
171	187	901
172	187	898
173	188	895
174	189	892
175	190	889
176	190	886
177	191	884
178	192	882
179	193	879
180	194	879
181	195	877
182	196	875
183	196	872
184	197	870
185	198	868
186	199	865
187	199	863
188	200	860
189	201	857
190	202	855
191	202	854
192	203	852
193	204	850
194	205	848
195	206	845
196	206	843
197	207	841
198	208	838
199	209	836
200	209	833
201	210	831
202	211	828
203	211	826
204	212	823
205	213	821
206	213	819
207	214	816
208	215	814
209	216	812
210	216	810
211	217	807
212	217	804
213	218	802
214	219	800
215	219	798
216	220	796
217	221	793
218	221	791
219	222	788
220	223	786
221	223	784
222	224	783
223	225	780
224	225	778
225	226	776
226	227	773
227	228	772
228	228	770
229	229	768
230	230	766
231	231	764
232	231	762
233	232	760
234	233	758
235	233	757
236	234	755
237	235	753
238	236	752
239	236	749
240	238	750
241	238	748
242	239	746
243	240	744
244	241	742
245	241	740
246	242	738
247	242	735
248	243	734
249	244	732
250	244	730
251	245	728
252	246	726
253	246	724
254	247	722
255	247	720
256	248	719
257	249	717
258	250	715
259	250	714
260	251	712
261	252	710
262	252	708
263	253	706
264	254	705
265	255	703
266	255	702
267	256	700
268	257	699
269	258	697
270	258	696
271	259	694
272	260	693
273	260	691
274	261	690
275	262	688
276	263	687
277	264	686
278	265	684
279	265	682
280	266	681
281	267	679
282	267	678
283	268	676
284	268	674
285	269	672
286	270	671
287	271	670
288	272	669
289	272	668
290	273	666
291	274	665
292	275	663
293	275	661
294	276	660
295	277	658
296	277	657
297	278	655
298	279	654
299	279	652
300	280	650
301	280	649
302	281	647
303	282	646
304	282	644
305	283	642
306	284	641
307	284	639
308	285	638
309	286	636
310	286	635
311	287	633
312	288	632
313	288	631
314	289	629
315	290	628
316	291	627
317	291	626
318	292	624
319	293	622
320	293	621
321	294	620
322	295	619
323	296	617
324	297	617
325	298	616
326	298	615
327	299	614
328	300	612
329	301	611
330	301	610
331	302	608
332	303	607
333	303	605
334	304	604
335	305	603
336	305	601
337	306	600
338	307	599
339	307	597
340	308	596
341	309	595
342	310	594
343	310	592
344	311	591
345	312	589
346	312	588
347	313	587
348	314	586
349	314	584
350	315	583
351	316	582
352	317	581
353	317	580
354	318	578
355	319	577
356	320	576
357	320	575
358	321	573
359	322	572
360	322	571
361	323	570
362	323	568
363	324	567
364	325	566
365	326	564
366	326	563
367	327	562
368	328	561
369	329	560
370	329	559
371	330	558
372	331	556
373	332	555
374	332	554
375	333	553
376	334	552
377	335	551
378	335	550
379	336	549
380	337	547
381	337	546
382	338	545
383	339	543
384	339	542
385	340	541
386	340	540
387	341	539
388	342	537
389	343	536
390	343	535
391	344	534
392	345	533
393	345	532
394	346	531
395	347	529
396	348	528
397	348	527
398	349	526
399	350	525
400	350	524
401	351	523
402	352	521
403	352	520
404	353	519
405	354	518
406	355	517
407	355	516
408	356	515
409	357	514
410	358	513
411	358	512
412	359	511
413	360	510
414	361	509
415	362	508
416	362	507
417	363	506
418	364	505
419	365	504
420	365	503
421	366	502
422	367	500
423	367	499
424	368	498
425	369	497
426	370	496
427	370	495
428	371	494
429	372	493
430	373	492
431	373	491
432	374	490
433	375	489
434	375	487
435	376	487
436	377	486
437	378	485
438	378	483
439	379	482
440	380	481
441	381	481
442	381	480
443	382	479
444	383	478
445	384	477
446	384	475
447	385	475
448	386	474
449	387	473
450	388	472
451	389	471
452	389	470
453	390	469
454	391	468
455	391	467
456	392	466
457	392	465
458	393	464
459	394	462
460	394	461
461	396	461
462	396	460
463	397	459
464	397	457
465	398	456
466	399	455
467	400	454
468	400	453
469	401	452
470	402	451
471	402	450
472	403	449
473	404	449
474	405	447
475	405	446
476	406	445
477	407	444
478	407	443
479	408	442
480	409	441
481	410	440
482	411	440
483	412	439
484	412	438
485	413	437
486	414	436
487	415	435
488	415	434
489	417	434
490	417	433
491	418	432
492	419	431
493	420	430
494	420	429
495	421	428
496	422	427
497	422	426
498	423	425
499	424	424
500	425	423
501	425	422
502	426	421
503	427	420
504	427	419
505	428	418
506	428	417
507	429	415
508	430	414
509	430	413
510	431	413
511	432	412
512	433	411
513	433	410
514	434	409
515	435	408
516	435	407
517	436	406
518	437	405
519	438	404
520	438	403
521	439	402
522	440	401
523	441	401
524	442	400
525	443	399
526	443	398
527	444	397
528	445	396
529	445	395
530	446	394
531	447	393
532	448	392
533	448	391
534	449	390
535	450	390
536	451	389
537	452	388
538	452	387
539	453	386
540	454	385
541	454	384
542	455	383
543	456	382
544	456	381
545	457	380
546	458	379
547	458	378
548	459	377
549	460	376
550	461	375
551	461	374
552	462	373
553	463	372
554	463	371
555	464	370
556	465	370
557	465	369
558	466	368
559	467	367
560	467	366
561	468	365
562	469	364
563	470	363
564	470	362
565	471	361
566	472	360
567	472	359
568	473	358
569	474	357
570	474	356
571	475	355
572	476	354
573	476	353
574	477	352
575	478	352
576	478	351
577	479	350
578	480	349
579	480	348
580	481	347
581	482	346
582	482	345
583	483	344
584	484	343
585	484	342
586	485	341
587	486	340
588	486	339
589	487	338
590	488	337
591	488	336
592	489	336
593	490	335
594	491	334
595	491	333
596	492	332
597	493	331
598	493	330
599	494	329
600	495	328
601	496	328
602	497	327
603	497	326
604	498	325
605	499	324
606	500	323
607	500	322
608	501	322
609	502	321
610	503	320
611	503	319
612	504	318
613	505	317
614	505	316
615	506	315
616	507	315
617	508	314
618	508	313
619	509	312
620	510	311
621	511	310
622	512	309
623	512	308
624	513	307
625	513	307
626	514	306
627	515	305
628	515	304
629	516	303
630	517	302
631	517	301
632	518	300
633	519	299
634	520	299
635	520	298
636	521	297
637	522	296
638	523	295
639	523	294
640	524	293
641	525	293
642	526	292
643	526	291
644	527	290
645	528	289
646	528	288
647	529	287
648	530	286
649	531	286
650	532	285
651	532	284
652	533	283
653	534	282
654	534	281
655	535	280
656	536	280
657	537	279
658	537	278
659	538	277
660	539	276
661	539	275
662	540	274
663	541	273
664	542	273
665	542	272
666	543	271
667	544	270
668	544	269
669	545	268
670	546	267
671	546	266
672	547	266
673	548	265
674	549	264
675	549	263
676	550	262
677	551	261
678	551	260
679	552	260
680	553	259
681	554	258
682	554	257
683	555	256
